gid_0,gid_1,outcome,predicted,predicted_error,date
AFG,AFG.3_1,internet_women,11.19,2.79,2020-06
AFG,AFG.3_1,internet_men,30.65,7.12,2020-06
AFG,AFG.3_1,internet_fm_ratio,0.21,0.09,2020-06
AFG,AFG.3_1,mobile_women,36.8,10.02,2021-06
AFG,AFG.3_1,mobile_men,73.85,6.05,2021-06
AFG,AFG.3_1,mobile_fm_ratio,0.42,0.11,2021-06
AFG,AFG.3_1,internet_women,11.15,2.84,2021-06
AFG,AFG.3_1,internet_men,30.73,7.03,2021-06
AFG,AFG.3_1,internet_fm_ratio,0.22,0.09,2021-06
AFG,AFG.3_1,mobile_women,31.03,9.84,2022-06
AFG,AFG.3_1,mobile_men,59.85,6.05,2022-06
AFG,AFG.3_1,mobile_fm_ratio,0.39,0.11,2022-06
AFG,AFG.3_1,internet_women,9.14,2.7,2022-06
AFG,AFG.3_1,internet_men,29.89,6.4,2022-06
AFG,AFG.3_1,internet_fm_ratio,0.18,0.08,2022-06
AFG,AFG.3_1,mobile_women,30.4,9.69,2023-06
AFG,AFG.3_1,mobile_men,59.33,6.05,2023-06
AFG,AFG.3_1,mobile_fm_ratio,0.39,0.11,2023-06
AFG,AFG.3_1,internet_women,8.64,2.62,2023-06
AFG,AFG.3_1,internet_men,29.36,6.32,2023-06
AFG,AFG.3_1,internet_fm_ratio,0.18,0.08,2023-06
AFG,AFG.3_1,mobile_women,32.4,10.01,2024-01
AFG,AFG.3_1,mobile_men,61.1,6.05,2024-01
AFG,AFG.3_1,mobile_fm_ratio,0.4,0.11,2024-01
AFG,AFG.3_1,internet_women,9.92,2.69,2024-01
AFG,AFG.3_1,internet_men,31.05,6.42,2024-01
AFG,AFG.3_1,internet_fm_ratio,0.19,0.08,2024-01
AFG,AFG.3_1,mobile_women,32.77,10.11,2024-02
AFG,AFG.3_1,mobile_men,61.37,6.05,2024-02
AFG,AFG.3_1,mobile_fm_ratio,0.4,0.11,2024-02
AFG,AFG.3_1,internet_women,10.11,2.74,2024-02
AFG,AFG.3_1,internet_men,31.2,6.47,2024-02
AFG,AFG.3_1,internet_fm_ratio,0.19,0.08,2024-02
AFG,AFG.3_1,mobile_women,32.51,10.07,2024-03
AFG,AFG.3_1,mobile_men,61.33,6.05,2024-03
AFG,AFG.3_1,mobile_fm_ratio,0.4,0.11,2024-03
AFG,AFG.3_1,internet_women,10.03,2.7,2024-03
AFG,AFG.3_1,internet_men,31.15,6.44,2024-03
AFG,AFG.3_1,internet_fm_ratio,0.19,0.08,2024-03
AFG,AFG.3_1,mobile_women,32.71,10.1,2024-04
AFG,AFG.3_1,mobile_men,61.49,6.04,2024-04
AFG,AFG.3_1,mobile_fm_ratio,0.4,0.11,2024-04
AFG,AFG.3_1,internet_women,10.08,2.7,2024-04
AFG,AFG.3_1,internet_men,31.19,6.44,2024-04
AFG,AFG.3_1,internet_fm_ratio,0.19,0.08,2024-04
AFG,AFG.3_1,mobile_women,32.81,10.12,2024-05
AFG,AFG.3_1,mobile_men,62.02,6.04,2024-05
AFG,AFG.3_1,mobile_fm_ratio,0.4,0.11,2024-05
AFG,AFG.3_1,internet_women,10.12,2.72,2024-05
AFG,AFG.3_1,internet_men,31.37,6.45,2024-05
AFG,AFG.3_1,internet_fm_ratio,0.19,0.08,2024-05
AFG,AFG.3_1,mobile_women,33.07,10.13,2024-06
AFG,AFG.3_1,mobile_men,62.8,6.04,2024-06
AFG,AFG.3_1,mobile_fm_ratio,0.4,0.11,2024-06
AFG,AFG.3_1,internet_women,10.2,2.74,2024-06
AFG,AFG.3_1,internet_men,31.49,6.45,2024-06
AFG,AFG.3_1,internet_fm_ratio,0.19,0.08,2024-06
AFG,AFG.3_1,mobile_women,32.61,10.09,2024-07
AFG,AFG.3_1,mobile_men,61.61,6.04,2024-07
AFG,AFG.3_1,mobile_fm_ratio,0.4,0.11,2024-07
AFG,AFG.3_1,internet_women,10.04,2.66,2024-07
AFG,AFG.3_1,internet_men,31.16,6.41,2024-07
AFG,AFG.3_1,internet_fm_ratio,0.19,0.08,2024-07
AFG,AFG.3_1,mobile_women,32.63,10.01,2024-08
AFG,AFG.3_1,mobile_men,62.61,6.04,2024-08
AFG,AFG.3_1,mobile_fm_ratio,0.4,0.11,2024-08
AFG,AFG.3_1,internet_women,10.06,2.79,2024-08
AFG,AFG.3_1,internet_men,31.28,6.44,2024-08
AFG,AFG.3_1,internet_fm_ratio,0.19,0.08,2024-08
AFG,AFG.3_1,mobile_women,32.57,9.99,2024-09
AFG,AFG.3_1,mobile_men,63.01,6.03,2024-09
AFG,AFG.3_1,mobile_fm_ratio,0.4,0.11,2024-09
AFG,AFG.3_1,internet_women,10.08,2.84,2024-09
AFG,AFG.3_1,internet_men,31.85,6.43,2024-09
AFG,AFG.3_1,internet_fm_ratio,0.19,0.08,2024-09
AFG,AFG.3_1,mobile_women,32.75,10.04,2024-10
AFG,AFG.3_1,mobile_men,63.74,6.03,2024-10
AFG,AFG.3_1,mobile_fm_ratio,0.4,0.11,2024-10
AFG,AFG.3_1,internet_women,10.27,2.86,2024-10
AFG,AFG.3_1,internet_men,32.74,6.44,2024-10
AFG,AFG.3_1,internet_fm_ratio,0.19,0.08,2024-10
AFG,AFG.3_1,mobile_women,32.86,10.09,2024-11
AFG,AFG.3_1,mobile_men,63.09,6.03,2024-11
AFG,AFG.3_1,mobile_fm_ratio,0.4,0.11,2024-11
AFG,AFG.3_1,internet_women,10.2,2.83,2024-11
AFG,AFG.3_1,internet_men,31.45,6.46,2024-11
AFG,AFG.3_1,internet_fm_ratio,0.19,0.08,2024-11
AFG,AFG.4_1,mobile_women,42.43,9.99,2015-01
AFG,AFG.4_1,mobile_men,92.25,6.03,2015-01
AFG,AFG.4_1,mobile_fm_ratio,0.42,0.11,2015-01
AFG,AFG.4_1,internet_women,18.37,6.12,2015-01
AFG,AFG.4_1,internet_men,36.89,8.51,2015-01
AFG,AFG.4_1,internet_fm_ratio,0.32,0.09,2015-01
