gid_0,outcome,predicted,predicted_error,date
PAN,mobile_fm_ratio,1.012,0.044,2024-06
PAN,mobile_women,0.826,0.428,2024-06
PAN,mobile_men,0.819,0.088,2024-06
PAK,internet_fm_ratio,0.666,0.053,2024-06
PAK,internet_women,0.178,0.652,2024-06
PAK,internet_men,0.361,0.484,2024-06
PAK,mobile_fm_ratio,0.681,0.033,2024-06
PAK,mobile_women,0.563,1.647,2024-06
PAK,mobile_men,0.774,0.076,2024-06
OMN,internet_fm_ratio,0.985,0.055,2024-06
OMN,internet_women,0.982,3.336,2024-06
OMN,internet_men,0.971,2.202,2024-06
OMN,mobile_fm_ratio,0.972,0.041,2024-06
OMN,mobile_women,0.964,2.401,2024-06
OMN,mobile_men,0.97,0.08,2024-06
NZL,internet_fm_ratio,1.008,0.04,2024-06
NZL,internet_women,0.968,4.36,2024-06
NZL,internet_men,0.965,2.848,2024-06
NZL,mobile_fm_ratio,0.999,0.039,2024-06
NZL,mobile_women,0.905,0.94,2024-06
NZL,mobile_men,0.933,0.09,2024-06
NPL,internet_fm_ratio,0.829,0.043,2024-06
NPL,internet_women,0.569,0.517,2024-06
NPL,internet_men,0.683,0.404,2024-06
NPL,mobile_fm_ratio,0.865,0.04,2024-06
NPL,mobile_women,0.746,0.969,2024-06
NPL,mobile_men,0.83,0.077,2024-06
NOR,internet_fm_ratio,1.007,0.04,2024-06
NOR,internet_women,0.987,6.84,2024-06
NOR,internet_men,0.985,4.427,2024-06
NOR,mobile_fm_ratio,0.993,0.041,2024-06
NOR,mobile_women,0.901,1.537,2024-06
NOR,mobile_men,0.91,0.093,2024-06
NLD,internet_fm_ratio,0.984,0.04,2024-06
NLD,internet_women,0.924,5.679,2024-06
NLD,internet_men,0.936,3.686,2024-06
NLD,mobile_fm_ratio,0.988,0.038,2024-06
NLD,mobile_women,0.893,1.096,2024-06
NLD,mobile_men,0.913,0.087,2024-06
NIC,internet_fm_ratio,0.996,0.045,2024-06
NIC,internet_women,0.566,0.651,2024-06
NIC,internet_men,0.651,0.485,2024-06
NIC,mobile_fm_ratio,1.017,0.04,2024-06
NIC,mobile_women,0.747,1.032,2024-06
NIC,mobile_men,0.814,0.083,2024-06
NGA,internet_fm_ratio,0.631,0.071,2024-06
NGA,internet_women,0.325,0.622,2024-06
NGA,internet_men,0.487,0.475,2024-06
NGA,mobile_fm_ratio,0.797,0.041,2024-06
NGA,mobile_women,0.641,0.821,2024-06
NGA,mobile_men,0.746,0.088,2024-06
NER,internet_fm_ratio,0.445,0.082,2024-06
